image_path,video_file,true_plate_text,condition_tags
labeling_set/14751750_1080_1920_59fps/frame_000000_vehicle_3.jpg,14751750_1080_1920_59fps,,"night,motion_blur"
labeling_set/14751750_1080_1920_59fps/frame_000087_vehicle_4.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000116_vehicle_4.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000145_plate_0.jpg,14751750_1080_1920_59fps,,"night,motion_blur"
labeling_set/14751750_1080_1920_59fps/frame_000145_vehicle_3.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000174_vehicle_0.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000174_vehicle_2.jpg,14751750_1080_1920_59fps,,"night,motion_blur"
labeling_set/14751750_1080_1920_59fps/frame_000203_vehicle_2.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000203_vehicle_5.jpg,14751750_1080_1920_59fps,,"day,angled"
labeling_set/14751750_1080_1920_59fps/frame_000232_vehicle_0.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000232_vehicle_8.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000261_vehicle_1.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000290_vehicle_0.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000290_vehicle_2.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000290_vehicle_3.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000319_vehicle_3.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000348_vehicle_3.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000348_vehicle_6.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000348_vehicle_9.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000377_vehicle_0.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000377_vehicle_3.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000377_vehicle_6.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000406_vehicle_0.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000406_vehicle_1.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000406_vehicle_3.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000406_vehicle_5.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000435_vehicle_0.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000464_vehicle_2.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000464_vehicle_3.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000493_vehicle_1.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000522_vehicle_0.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000522_vehicle_1.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000551_vehicle_1.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000580_vehicle_2.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000580_vehicle_4.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000580_vehicle_6.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000609_vehicle_6.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000609_vehicle_7.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000609_vehicle_9.jpg,14751750_1080_1920_59fps,,night
labeling_set/14751750_1080_1920_59fps/frame_000667_vehicle_1.jpg,14751750_1080_1920_59fps,,night
labeling_set/14828714_1080_1920_30fps/frame_000000_vehicle_0.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000000_vehicle_1.jpg,14828714_1080_1920_30fps,,"day,straight"
labeling_set/14828714_1080_1920_30fps/frame_000000_vehicle_10.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000000_vehicle_11.jpg,14828714_1080_1920_30fps,,
labeling_set/14828714_1080_1920_30fps/frame_000000_vehicle_12.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000000_vehicle_13.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000000_vehicle_14.jpg,14828714_1080_1920_30fps,,
labeling_set/14828714_1080_1920_30fps/frame_000000_vehicle_15.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000000_vehicle_16.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000000_vehicle_17.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000000_vehicle_18.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000000_vehicle_2.jpg,14828714_1080_1920_30fps,HR06BJ3127,"day,clear"
labeling_set/14828714_1080_1920_30fps/frame_000000_vehicle_4.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000000_vehicle_5.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000000_vehicle_6.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000000_vehicle_7.jpg,14828714_1080_1920_30fps,,"day,angled"
labeling_set/14828714_1080_1920_30fps/frame_000000_vehicle_8.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000000_vehicle_9.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000015_vehicle_0.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000015_vehicle_1.jpg,14828714_1080_1920_30fps,,"day,straight"
labeling_set/14828714_1080_1920_30fps/frame_000015_vehicle_10.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000015_vehicle_11.jpg,14828714_1080_1920_30fps,,"day,angled"
labeling_set/14828714_1080_1920_30fps/frame_000015_vehicle_12.jpg,14828714_1080_1920_30fps,,"day,motion_blur"
labeling_set/14828714_1080_1920_30fps/frame_000015_vehicle_13.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000015_vehicle_14.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000015_vehicle_15.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000015_vehicle_16.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000015_vehicle_17.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000015_vehicle_18.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000015_vehicle_3.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000015_vehicle_4.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000015_vehicle_5.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000015_vehicle_6.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000015_vehicle_7.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000015_vehicle_8.jpg,14828714_1080_1920_30fps,,"day,motion_blur"
labeling_set/14828714_1080_1920_30fps/frame_000015_vehicle_9.jpg,14828714_1080_1920_30fps,DL11CB1128,"day,motion_blur"
labeling_set/14828714_1080_1920_30fps/frame_000030_vehicle_0.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000030_vehicle_1.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000030_vehicle_10.jpg,14828714_1080_1920_30fps,,day
labeling_set/14828714_1080_1920_30fps/frame_000030_vehicle_11.jpg,14828714_1080_1920_30fps,,day
labeling_set/14955798_2160_3840_30fps (1)/frame_000000_vehicle_0.jpg,14955798_2160_3840_30fps (1),DL,"day,motion_blur"
labeling_set/14955798_2160_3840_30fps (1)/frame_000000_vehicle_2.jpg,14955798_2160_3840_30fps (1),PB12B6725,"day,straight"
labeling_set/14955798_2160_3840_30fps (1)/frame_000000_vehicle_3.jpg,14955798_2160_3840_30fps (1),,"day,two_line"
labeling_set/14955798_2160_3840_30fps (1)/frame_000000_vehicle_5.jpg,14955798_2160_3840_30fps (1),,day
labeling_set/14955798_2160_3840_30fps (1)/frame_000015_vehicle_1.jpg,14955798_2160_3840_30fps (1),HR12U5208,day
labeling_set/14955798_2160_3840_30fps (1)/frame_000015_vehicle_2.jpg,14955798_2160_3840_30fps (1),,
labeling_set/14955798_2160_3840_30fps (1)/frame_000015_vehicle_3.jpg,14955798_2160_3840_30fps (1),,day
labeling_set/14955798_2160_3840_30fps (1)/frame_000015_vehicle_4.jpg,14955798_2160_3840_30fps (1),,day
labeling_set/14955798_2160_3840_30fps (1)/frame_000015_vehicle_5.jpg,14955798_2160_3840_30fps (1),,day
labeling_set/14955798_2160_3840_30fps (1)/frame_000030_vehicle_0.jpg,14955798_2160_3840_30fps (1),HR12U6706,"day,clear,straight"
labeling_set/14955798_2160_3840_30fps (1)/frame_000030_vehicle_2.jpg,14955798_2160_3840_30fps (1),,day
labeling_set/14955798_2160_3840_30fps (1)/frame_000030_vehicle_3.jpg,14955798_2160_3840_30fps (1),,day
labeling_set/14955798_2160_3840_30fps (1)/frame_000030_vehicle_4.jpg,14955798_2160_3840_30fps (1),,day
labeling_set/14955798_2160_3840_30fps (1)/frame_000030_vehicle_5.jpg,14955798_2160_3840_30fps (1),,day
labeling_set/14955798_2160_3840_30fps (1)/frame_000030_vehicle_6.jpg,14955798_2160_3840_30fps (1),,day
labeling_set/14955798_2160_3840_30fps (1)/frame_000045_vehicle_1.jpg,14955798_2160_3840_30fps (1),,day
labeling_set/14955798_2160_3840_30fps (1)/frame_000045_vehicle_2.jpg,14955798_2160_3840_30fps (1),,day
